epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,2420.12,1.2969,0.84306,2.06713,0.73194,0.67512,0.71984,0.33863,3.84668,2.19185,4.89482,2.278e-05,2.278e-05,2.278e-05
41,2479.39,1.20035,0.63192,1.99235,0.79981,0.66188,0.72855,0.33998,3.86002,2.13157,4.91859,2.08e-05,2.08e-05,2.08e-05
42,2538.04,1.18867,0.63521,2.01821,0.79237,0.65848,0.73151,0.34119,3.86113,2.14778,4.92241,1.882e-05,1.882e-05,1.882e-05
43,2595.82,1.14408,0.5966,1.95773,0.79751,0.64827,0.73109,0.33919,3.85404,2.13099,4.93169,1.684e-05,1.684e-05,1.684e-05
44,2653.57,1.16859,0.61507,1.99932,0.80729,0.64827,0.7394,0.34809,3.84095,2.15405,4.93597,1.486e-05,1.486e-05,1.486e-05
45,2711.9,1.14427,0.59775,1.97303,0.79636,0.65706,0.7364,0.34423,3.85276,2.15377,4.94867,1.288e-05,1.288e-05,1.288e-05
46,2770.17,1.16706,0.59522,1.97745,0.7834,0.66465,0.73496,0.34511,3.85178,2.16879,4.94734,1.09e-05,1.09e-05,1.09e-05
47,2829.28,1.13752,0.60821,1.98546,0.79157,0.65603,0.73843,0.34838,3.84261,2.1545,4.95624,8.92e-06,8.92e-06,8.92e-06
48,2887.58,1.12494,0.5734,1.96134,0.80232,0.64939,0.74086,0.35108,3.84798,2.15862,4.94807,6.94e-06,6.94e-06,6.94e-06
49,2945.52,1.15693,0.60318,1.98049,0.80077,0.65168,0.73899,0.34712,3.84483,2.15727,4.94481,4.96e-06,4.96e-06,4.96e-06
50,3003.13,1.14594,0.60449,1.96573,0.79646,0.6584,0.73871,0.34869,3.83922,2.16051,4.9346,2.98e-06,2.98e-06,2.98e-06
