epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.816,3.83847,7.63465,4.01746,0.00043,0.02041,0.00022,6e-05,nan,nan,nan,0.000547729,0.000547729,0.000547729
2,163.548,4.08761,5.06503,4.08238,0.05024,0.07638,0.02104,0.00626,5.17053,116.985,6.60466,0.00109247,0.00109247,0.00109247
3,221.874,4.06335,4.71931,4.02053,0.16932,0.12081,0.06421,0.02432,nan,nan,nan,0.00162621,0.00162621,0.00162621
4,285.266,3.91537,4.5924,3.97511,0.00122,0.02041,0.00076,0.00042,7.80342,12.2405,7.41102,0.00161749,0.00161749,0.00161749
5,343.416,3.88923,4.22957,3.90329,0.32647,0.39838,0.3052,0.11817,4.23779,6.62529,4.73303,0.00160099,0.00160099,0.00160099
6,407.422,3.78589,4.09468,3.88717,0.49318,0.44835,0.43916,0.1731,3.75732,5.87122,3.969,0.00158448,0.00158448,0.00158448
7,466.759,3.67374,3.82851,3.74653,0.40893,0.45679,0.38449,0.14918,4.11077,5.76081,4.50351,0.00156798,0.00156798,0.00156798
8,524.662,3.68902,3.83662,3.70628,0.43087,0.50794,0.41004,0.16835,3.94424,3.6619,4.36423,0.00155148,0.00155148,0.00155148
9,582.426,3.58555,3.55913,3.62508,0.42968,0.52318,0.42451,0.17343,3.87063,3.62097,4.13687,0.00153497,0.00153497,0.00153497
10,640.455,3.55824,3.55747,3.65926,0.55986,0.48326,0.52639,0.22423,3.72178,3.78242,4.03155,0.00151847,0.00151847,0.00151847
11,700.378,3.46072,3.37743,3.58316,0.50696,0.37906,0.40268,0.15237,4.22859,3.69527,4.48501,0.00150197,0.00150197,0.00150197
12,758.605,3.56262,3.28198,3.62481,0.5066,0.54176,0.48552,0.19577,4.09258,3.74372,4.34523,0.00148546,0.00148546,0.00148546
13,816.223,3.53093,3.26508,3.60741,0.64121,0.4572,0.51631,0.20213,4.0712,3.17057,4.25543,0.00146896,0.00146896,0.00146896
14,874.942,3.46501,3.10286,3.52978,0.60027,0.56639,0.56566,0.2235,3.82332,2.7978,4.1143,0.00145246,0.00145246,0.00145246
