epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.585,1.60651,1.02564,2.2053,0.75074,0.59575,0.70096,0.336,3.81172,2.48345,4.72081,0.0671757,3.28571e-05,3.28571e-05
2,196.056,1.48343,0.99736,2.15702,0.73097,0.64638,0.68934,0.32479,3.8703,2.51319,4.85687,0.0338744,6.48799e-05,6.48799e-05
3,259.213,1.43296,0.95038,2.1048,0.73743,0.65848,0.70334,0.33547,3.82682,2.33778,4.85098,0.000571773,9.55827e-05,9.55827e-05
4,326.201,1.39029,0.92048,2.09935,0.71129,0.65808,0.70478,0.32944,3.86326,2.48307,4.94656,9.406e-05,9.406e-05,9.406e-05
5,389.393,1.32817,0.86088,2.06822,0.73623,0.659,0.69446,0.3292,3.8577,2.46916,4.94383,9.208e-05,9.208e-05,9.208e-05
6,460.295,1.31267,0.89588,2.09091,0.7428,0.62787,0.7084,0.33935,3.90334,2.52207,5.01977,9.01e-05,9.01e-05,9.01e-05
7,520.427,1.30804,0.87494,2.08198,0.79417,0.64147,0.72652,0.34186,3.85239,2.38586,4.89504,8.812e-05,8.812e-05,8.812e-05
8,579.963,1.384,0.91355,2.10418,0.75729,0.66402,0.70654,0.33114,3.90675,2.4003,4.98063,8.614e-05,8.614e-05,8.614e-05
9,639.185,1.30778,0.86146,2.04579,0.74456,0.64764,0.69477,0.32855,3.89726,2.45418,4.97165,8.416e-05,8.416e-05,8.416e-05
10,706.34,1.29382,0.88474,2.07,0.80788,0.60412,0.70166,0.32359,3.91714,2.52839,5.01044,8.218e-05,8.218e-05,8.218e-05
11,764.441,1.31219,0.87469,2.08786,0.78136,0.62913,0.70638,0.33327,3.82984,2.48477,5.00362,8.02e-05,8.02e-05,8.02e-05
12,822.778,1.31259,0.85973,2.0584,0.81399,0.61463,0.70986,0.33572,3.79646,2.45355,4.99805,7.822e-05,7.822e-05,7.822e-05
13,881.576,1.30343,0.87503,2.05531,0.7483,0.64289,0.71723,0.33951,3.83558,2.35437,4.99851,7.624e-05,7.624e-05,7.624e-05
14,940.322,1.3201,0.89083,2.06069,0.75734,0.62966,0.70443,0.33745,3.84935,2.40617,5.01814,7.426e-05,7.426e-05,7.426e-05
15,999.36,1.32233,0.87574,2.0706,0.73134,0.65572,0.72293,0.34562,3.83693,2.41854,5.01393,7.228e-05,7.228e-05,7.228e-05
16,1065.28,1.32309,0.86775,2.0537,0.72471,0.63485,0.71022,0.33578,3.83858,2.40631,5.01863,7.03e-05,7.03e-05,7.03e-05
17,1124.66,1.29873,0.8705,2.06117,0.77874,0.59132,0.70001,0.33609,3.82171,2.49622,4.94756,6.832e-05,6.832e-05,6.832e-05
18,1184.14,1.2867,0.83704,2.043,0.76887,0.63127,0.70598,0.34101,3.78368,2.44746,4.93161,6.634e-05,6.634e-05,6.634e-05
19,1242.8,1.25357,0.81018,2.02059,0.73692,0.63857,0.70899,0.33952,3.79579,2.42779,4.92916,6.436e-05,6.436e-05,6.436e-05
20,1308.62,1.27179,0.85808,2.06723,0.69476,0.65503,0.71958,0.34569,3.83424,2.37961,4.96878,6.238e-05,6.238e-05,6.238e-05
21,1367.19,1.29786,0.86505,2.06323,0.71922,0.65231,0.72314,0.34509,3.81157,2.3357,4.92281,6.04e-05,6.04e-05,6.04e-05
22,1426.19,1.29042,0.85558,2.05198,0.77806,0.63356,0.72209,0.34613,3.80171,2.33605,4.94524,5.842e-05,5.842e-05,5.842e-05
23,1491.42,1.2967,0.87684,2.04125,0.77899,0.61892,0.7052,0.33863,3.80451,2.42406,4.90314,5.644e-05,5.644e-05,5.644e-05
24,1550.61,1.27217,0.82671,2.04589,0.7477,0.6387,0.70922,0.33723,3.79025,2.36717,4.95469,5.446e-05,5.446e-05,5.446e-05
25,1609.16,1.24166,0.83173,2.02606,0.77931,0.6111,0.71659,0.33979,3.8668,2.4262,5.03413,5.248e-05,5.248e-05,5.248e-05
26,1667.86,1.24132,0.81109,2.02001,0.75522,0.63069,0.7131,0.33734,3.81121,2.37662,4.96088,5.05e-05,5.05e-05,5.05e-05
27,1727.04,1.23464,0.8066,2.02098,0.77967,0.60721,0.70376,0.33432,3.83221,2.479,4.94032,4.852e-05,4.852e-05,4.852e-05
28,1795.21,1.2937,0.8366,2.03161,0.77867,0.61678,0.70677,0.33905,3.84098,2.49338,4.96951,4.654e-05,4.654e-05,4.654e-05
29,1854.09,1.26813,0.82235,2.03267,0.76115,0.60216,0.69172,0.33006,3.87044,2.52951,5.00945,4.456e-05,4.456e-05,4.456e-05
30,1920.28,1.2444,0.83821,2.02533,0.76828,0.62844,0.71035,0.33745,3.85657,2.45276,4.99614,4.258e-05,4.258e-05,4.258e-05
31,1978.51,1.26287,0.82722,2.03084,0.78112,0.597,0.69269,0.32519,3.87786,2.47865,5.01786,4.06e-05,4.06e-05,4.06e-05
32,2037.21,1.25432,0.82194,2.02224,0.81517,0.59546,0.69814,0.32932,3.8514,2.48957,4.9915,3.862e-05,3.862e-05,3.862e-05
