epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,2095.52,1.26364,0.80467,2.01858,0.78493,0.61955,0.69857,0.329,3.88099,2.48374,5.04146,3.664e-05,3.664e-05,3.664e-05
34,2154.06,1.25163,0.8237,2.01674,0.79934,0.6038,0.70096,0.33396,3.86784,2.47083,5.04071,3.466e-05,3.466e-05,3.466e-05
35,2212.92,1.23173,0.82196,2.02152,0.78198,0.62495,0.7058,0.33438,3.85076,2.43913,5.02004,3.268e-05,3.268e-05,3.268e-05
36,2271.89,1.24116,0.82565,2.0206,0.78792,0.62232,0.70077,0.32919,3.87531,2.44316,5.03901,3.07e-05,3.07e-05,3.07e-05
37,2330.62,1.25955,0.82572,2.03754,0.82612,0.60365,0.71161,0.33415,3.86281,2.46549,5.03785,2.872e-05,2.872e-05,2.872e-05
38,2389.32,1.23281,0.77883,2.01367,0.7813,0.61955,0.7117,0.33385,3.86752,2.46368,5.02566,2.674e-05,2.674e-05,2.674e-05
39,2448.25,1.24076,0.81351,2.04501,0.78872,0.6387,0.70485,0.33656,3.86243,2.47044,5.02142,2.476e-05,2.476e-05,2.476e-05
40,2507.31,1.2215,0.7974,2.02909,0.8002,0.61799,0.71506,0.33771,3.84449,2.44336,5.00244,2.278e-05,2.278e-05,2.278e-05
41,2567.15,1.11138,0.58731,1.93856,0.8193,0.63662,0.71584,0.33511,3.86994,2.2892,5.03428,2.08e-05,2.08e-05,2.08e-05
42,2626.11,1.1029,0.59424,1.96634,0.82984,0.6421,0.70988,0.33563,3.88049,2.31356,5.04679,1.882e-05,1.882e-05,1.882e-05
43,2684.76,1.06092,0.56404,1.90796,0.80358,0.63593,0.71388,0.33682,3.84902,2.29295,5.02162,1.684e-05,1.684e-05,1.684e-05
44,2743.38,1.09241,0.56863,1.94656,0.78027,0.63615,0.71894,0.34254,3.82583,2.3052,5.01192,1.486e-05,1.486e-05,1.486e-05
45,2801.67,1.06948,0.56202,1.92902,0.80328,0.63569,0.72259,0.34365,3.83487,2.31194,5.01533,1.288e-05,1.288e-05,1.288e-05
46,2859.91,1.09384,0.56051,1.92811,0.79489,0.64269,0.72501,0.34387,3.8286,2.31187,5.02125,1.09e-05,1.09e-05,1.09e-05
47,2918.46,1.07323,0.57756,1.94231,0.79943,0.64581,0.73001,0.34651,3.83663,2.30645,5.03766,8.92e-06,8.92e-06,8.92e-06
48,2977.13,1.05972,0.54812,1.9194,0.79107,0.65508,0.73087,0.34495,3.8183,2.28655,5.01683,6.94e-06,6.94e-06,6.94e-06
49,3035.71,1.09383,0.56768,1.93653,0.7906,0.65508,0.73054,0.3476,3.817,2.29029,5.0192,4.96e-06,4.96e-06,4.96e-06
50,3109.04,1.09092,0.58482,1.92959,0.80352,0.63139,0.7245,0.34499,3.80891,2.28659,5.00536,2.98e-06,2.98e-06,2.98e-06
